地區,ID,名稱,英文,家族名稱
▼地區-關都,#064,勇基拉,Kadabra,胡地
▼地區-關都,#065,胡地,Alakazam,胡地
▼地區-關都,#066,腕力,Machop,怪力
▼地區-關都,#067,豪力,Machoke,怪力
▼地區-關都,#068,怪力,Machamp,怪力
▼地區-關都,#069,喇叭芽,Bellsprout,大食花
▼地區-關都,#070,口呆花,Weepinbell,大食花
▼地區-關都,#071,大食花,Victreebel,大食花
▼地區-關都,#072,瑪瑙水母,Tentacool,毒刺水母
▼地區-關都,#073,毒刺水母,Tentacruel,毒刺水母
▼地區-關都,#074,小拳石,Geodude,隆隆岩-關都
▼地區-關都,#075,隆隆石,Graveler,隆隆岩-關都
▼地區-關都,#076,隆隆岩,Golem,隆隆岩-關都
▼地區-關都,#077,小火馬,Ponyta,烈焰馬-關都
▼地區-關都,#078,烈焰馬,Rapidash,烈焰馬-關都
▼地區-關都,#079,呆呆獸,Slowpoke,呆呆王-城都
▼地區-關都,#080,呆殼獸,Slowbro,呆殼獸-關都
▼地區-關都,#081,小磁怪,Magnemite,自爆磁怪
▼地區-關都,#082,三合一磁怪,Magneton,自爆磁怪
▼地區-關都,#083,大蔥鴨,Farfetch'd,大蔥鴨-關都
▼地區-關都,#084,嘟嘟,Doduo,嘟嘟利
▼地區-關都,#085,嘟嘟利,Dodrio,嘟嘟利
▼地區-關都,#086,小海獅,Seel,白海獅
▼地區-關都,#087,白海獅,Dewgong,白海獅
▼地區-關都,#088,臭泥,Grimer,臭臭泥-關都
▼地區-關都,#089,臭臭泥,Muk,臭臭泥-關都
▼地區-關都,#090,大舌貝,Shellder,刺甲貝
▼地區-關都,#091,刺甲貝,Cloyster,刺甲貝
▼地區-關都,#092,鬼斯,Gastly,耿鬼
▼地區-關都,#093,鬼斯通,Haunter,耿鬼
▼地區-關都,#094,耿鬼,Gengar,耿鬼
▼地區-關都,#095,大岩蛇,Onix,大鋼蛇
▼地區-關都,#096,催眠貘,Drowzee,引夢貘人
▼地區-關都,#097,引夢貘人,Hypno,引夢貘人
▼地區-關都,#098,大鉗蟹,Krabby,巨鉗蟹
▼地區-關都,#099,巨鉗蟹,Kingler,巨鉗蟹
▼地區-關都,#100,霹靂電球,Voltorb,頑皮雷彈-關都
▼地區-關都,#101,頑皮雷彈,Electrode,頑皮雷彈-關都
▼地區-關都,#102,蛋蛋,Exeggcute,椰蛋樹-阿羅拉
▼地區-關都,#103,椰蛋樹,Exeggutor,椰蛋樹-關都
▼地區-關都,#104,卡拉卡拉,Cubone,嘎啦嘎啦-阿羅拉
▼地區-關都,#105,嘎啦嘎啦,Marowak,嘎啦嘎啦-關都
▼地區-關都,#106,飛腿郎,Hitmonlee,飛腿郎
▼地區-關都,#107,快拳郎,Hitmonchan,快拳郎
▼地區-關都,#108,大舌頭,Lickitung,大舌舔
▼地區-關都,#109,瓦斯彈,Koffing,雙彈瓦斯-伽勒爾
▼地區-關都,#110,雙彈瓦斯,Weezing,雙彈瓦斯-關都
▼地區-關都,#111,獨角犀牛,Rhyhorn,超甲狂犀
▼地區-關都,#112,鑽角犀獸,Rhydon,超甲狂犀
▼地區-關都,#113,吉利蛋,Chansey,幸福蛋
▼地區-關都,#114,蔓藤怪,Tangela,巨蔓藤
▼地區-關都,#115,袋獸,Kangaskhan,袋獸
▼地區-關都,#116,墨海馬,Horsea,刺龍王
▼地區-關都,#117,海刺龍,Seadra,刺龍王
▼地區-關都,#118,角金魚,Goldeen,金魚王
▼地區-關都,#119,金魚王,Seaking,金魚王
▼地區-關都,#120,海星星,Staryu,寶石海星
▼地區-關都,#121,寶石海星,Starmie,寶石海星
▼地區-關都,#122,魔牆人偶,Mr. Mime,魔牆人偶-關都
▼地區-關都,#123,飛天螳螂,Scyther,劈斧螳螂
▼地區-關都,#124,迷唇姐,Jynx,迷唇姐
▼地區-關都,#125,電擊獸,Electabuzz,電擊魔獸
▼地區-關都,#126,鴨嘴火獸,Magmar,鴨嘴炎獸
▼地區-關都,#127,凱羅斯,Pinsir,凱羅斯
▼地區-關都,#128,肯泰羅,Tauros,肯泰羅
▼地區-關都,#129,鯉魚王,Magikarp,暴鯉龍
▼地區-關都,#130,暴鯉龍,Gyarados,暴鯉龍
▼地區-關都,#131,拉普拉斯,Lapras,拉普拉斯
▼地區-關都,#132,百變怪,Ditto,百變怪
▼地區-關都,#133,伊布,Eevee,仙子伊布
▼地區-關都,#134,水伊布,Vaporeon,水伊布
▼地區-關都,#135,雷伊布,Jolteon,雷伊布
▼地區-關都,#136,火伊布,Flareon,火伊布
▼地區-關都,#137,多邊獸,Porygon,多邊獸Ｚ
▼地區-關都,#138,菊石獸,Omanyte,多刺菊石獸
▼地區-關都,#139,多刺菊石獸,Omastar,多刺菊石獸
▼地區-關都,#140,化石盔,Kabuto,鐮刀盔
▼地區-關都,#141,鐮刀盔,Kabutops,鐮刀盔
▼地區-關都,#142,化石翼龍,Aerodactyl,化石翼龍
▼地區-關都,#143,卡比獸,Snorlax,卡比獸
▼地區-關都,#144,急凍鳥,Articuno,急凍鳥-關都
▼地區-關都,#145,閃電鳥,Zapdos,閃電鳥-關都
▼地區-關都,#146,火焰鳥,Moltres,火焰鳥-關都
▼地區-關都,#147,迷你龍,Dratini,快龍
▼地區-關都,#148,哈克龍,Dragonair,快龍
▼地區-關都,#149,快龍,Dragonite,快龍
▼地區-關都,#150,超夢,Mewtwo,超夢
▼地區-關都,#151,夢幻,Mew,夢幻
▼地區-城都,#152,菊草葉,Chikorita,大竺葵
▼地區-城都,#153,月桂葉,Bayleef,大竺葵
▼地區-城都,#154,大竺葵,Meganium,大竺葵
▼地區-城都,#155,火球鼠,Cyndaquil,火爆獸-洗翠
▼地區-城都,#156,火岩鼠,Quilava,火爆獸-洗翠
▼地區-城都,#157,火爆獸,Typhlosion,火爆獸-城都
▼地區-城都,#158,小鋸鱷,Totodile,大力鱷
▼地區-城都,#159,藍鱷,Croconaw,大力鱷
▼地區-城都,#160,大力鱷,Feraligatr,大力鱷
▼地區-城都,#161,尾立,Sentret,大尾立
▼地區-城都,#162,大尾立,Furret,大尾立
▼地區-城都,#163,咕咕,Hoothoot,貓頭夜鷹
▼地區-城都,#164,貓頭夜鷹,Noctowl,貓頭夜鷹
▼地區-城都,#165,芭瓢蟲,Ledyba,安瓢蟲
▼地區-城都,#166,安瓢蟲,Ledian,安瓢蟲
▼地區-城都,#167,圓絲蛛,Spinarak,阿利多斯
▼地區-城都,#168,阿利多斯,Ariados,阿利多斯
▼地區-城都,#169,叉字蝠,Crobat,叉字蝠
▼地區-城都,#170,燈籠魚,Chinchou,電燈怪
▼地區-城都,#171,電燈怪,Lanturn,電燈怪
▼地區-城都,#172,皮丘,Pichu,雷丘-阿羅拉
▼地區-城都,#173,皮寶寶,Cleffa,皮可西
▼地區-城都,#174,寶寶丁,Igglybuff,胖可丁
▼地區-城都,#175,波克比,Togepi,波克基斯
▼地區-城都,#176,波克基古,Togetic,波克基斯
▼地區-城都,#177,天然雀,Natu,天然鳥
▼地區-城都,#178,天然鳥,Xatu,天然鳥
▼地區-城都,#179,咩利羊,Mareep,電龍
▼地區-城都,#180,茸茸羊,Flaaffy,電龍
▼地區-城都,#181,電龍,Ampharos,電龍
▼地區-城都,#182,美麗花,Bellossom,美麗花
▼地區-城都,#183,瑪力露,Marill,瑪力露麗
▼地區-城都,#184,瑪力露麗,Azumarill,瑪力露麗
▼地區-城都,#185,樹才怪,Sudowoodo,樹才怪
▼地區-城都,#186,蚊香蛙皇,Politoed,蚊香蛙皇
▼地區-城都,#187,毽子草,Hoppip,毽子棉
▼地區-城都,#188,毽子花,Skiploom,毽子棉
▼地區-城都,#189,毽子棉,Jumpluff,毽子棉
▼地區-城都,#190,長尾怪手,Aipom,雙尾怪手
▼地區-城都,#191,向日種子,Sunkern,向日花怪
▼地區-城都,#192,向日花怪,Sunflora,向日花怪
▼地區-城都,#193,蜻蜻蜓,Yanma,遠古巨蜓
▼地區-城都,#194,烏波,Wooper,沼王
▼地區-城都,#195,沼王,Quagsire,沼王
▼地區-城都,#196,太陽伊布,Espeon,太陽伊布
▼地區-城都,#197,月亮伊布,Umbreon,月亮伊布
▼地區-城都,#198,黑暗鴉,Murkrow,烏鴉頭頭
▼地區-城都,#199,呆呆王,Slowking,呆呆王-城都
▼地區-城都,#200,夢妖,Misdreavus,夢妖魔
▼地區-城都,#201,未知圖騰,Unown,未知圖騰
▼地區-城都,#202,果然翁,Wobbuffet,果然翁
▼地區-城都,#203,麒麟奇,Girafarig,麒麟奇
▼地區-城都,#204,榛果球,Pineco,佛烈托斯
▼地區-城都,#205,佛烈托斯,Forretress,佛烈托斯
▼地區-城都,#206,土龍弟弟,Dunsparce,土龍弟弟
▼地區-城都,#207,天蠍,Gligar,天蠍王
▼地區-城都,#208,大鋼蛇,Steelix,大鋼蛇
▼地區-城都,#209,布魯,Snubbull,布魯皇
▼地區-城都,#210,布魯皇,Granbull,布魯皇
▼地區-城都,#211,千針魚,Qwilfish,千針魚-城都
▼地區-城都,#212,巨鉗螳螂,Scizor,巨鉗螳螂
▼地區-城都,#213,壺壺,Shuckle,壺壺
▼地區-城都,#214,赫拉克羅斯,Heracross,赫拉克羅斯
▼地區-城都,#215,狃拉,Sneasel,瑪狃拉
▼地區-城都,#216,熊寶寶,Teddiursa,月月熊
▼地區-城都,#217,圈圈熊,Ursaring,月月熊
▼地區-城都,#218,熔岩蟲,Slugma,熔岩蝸牛
▼地區-城都,#219,熔岩蝸牛,Magcargo,熔岩蝸牛
▼地區-城都,#220,小山豬,Swinub,象牙豬
▼地區-城都,#221,長毛豬,Piloswine,象牙豬
▼地區-城都,#222,太陽珊瑚,Corsola,太陽珊瑚-城都
▼地區-城都,#223,鐵炮魚,Remoraid,章魚桶
▼地區-城都,#224,章魚桶,Octillery,章魚桶
▼地區-城都,#225,信使鳥,Delibird,信使鳥
▼地區-城都,#226,巨翅飛魚,Mantine,巨翅飛魚
▼地區-城都,#227,盔甲鳥,Skarmory,盔甲鳥
▼地區-城都,#228,戴魯比,Houndour,黑魯加
▼地區-城都,#229,黑魯加,Houndoom,黑魯加
▼地區-城都,#230,刺龍王,Kingdra,刺龍王
▼地區-城都,#231,小小象,Phanpy,頓甲
▼地區-城都,#232,頓甲,Donphan,頓甲
▼地區-城都,#233,多邊獸Ⅱ,Porygon2,多邊獸Ｚ
▼地區-城都,#234,驚角鹿,Stantler,詭角鹿
▼地區-城都,#235,圖圖犬,Smeargle,圖圖犬
▼地區-城都,#236,無畏小子,Tyrogue,戰舞郎
▼地區-城都,#237,戰舞郎,Hitmontop,戰舞郎
▼地區-城都,#238,迷唇娃,Smoochum,迷唇姐
▼地區-城都,#239,電擊怪,Elekid,電擊魔獸
▼地區-城都,#240,鴨嘴寶寶,Magby,鴨嘴炎獸
▼地區-城都,#241,大奶罐,Miltank,大奶罐
▼地區-城都,#242,幸福蛋,Blissey,幸福蛋
▼地區-城都,#243,雷公,Raikou,雷公
▼地區-城都,#244,炎帝,Entei,炎帝
▼地區-城都,#245,水君,Suicune,水君
▼地區-城都,#246,幼基拉斯,Larvitar,班基拉斯
▼地區-城都,#247,沙基拉斯,Pupitar,班基拉斯
▼地區-城都,#248,班基拉斯,Tyranitar,班基拉斯
▼地區-城都,#249,洛奇亞,Lugia,洛奇亞
▼地區-城都,#250,鳳王,Ho-Oh,鳳王
▼地區-城都,#251,時拉比,Celebi,時拉比
▼地區-豐緣,#252,木守宮,Treecko,蜥蜴王
▼地區-豐緣,#253,森林蜥蜴,Grovyle,蜥蜴王
▼地區-豐緣,#254,蜥蜴王,Sceptile,蜥蜴王
▼地區-豐緣,#255,火稚雞,Torchic,火焰雞
▼地區-豐緣,#256,力壯雞,Combusken,火焰雞
▼地區-豐緣,#257,火焰雞,Blaziken,火焰雞
▼地區-豐緣,#258,水躍魚,Mudkip,巨沼怪
▼地區-豐緣,#259,沼躍魚,Marshtomp,巨沼怪
▼地區-豐緣,#260,巨沼怪,Swampert,巨沼怪
▼地區-豐緣,#261,土狼犬,Poochyena,大狼犬
▼地區-豐緣,#262,大狼犬,Mightyena,大狼犬
▼地區-豐緣,#263,蛇紋熊,Zigzagoon,直衝熊-豐緣
▼地區-豐緣,#264,直衝熊,Linoone,直衝熊-豐緣
▼地區-豐緣,#265,刺尾蟲,Wurmple,毒粉蛾
▼地區-豐緣,#266,甲殼繭,Silcoon,狩獵鳳蝶
▼地區-豐緣,#267,狩獵鳳蝶,Beautifly,狩獵鳳蝶
▼地區-豐緣,#268,盾甲繭,Cascoon,毒粉蛾
▼地區-豐緣,#269,毒粉蛾,Dustox,毒粉蛾
▼地區-豐緣,#270,蓮葉童子,Lotad,樂天河童
▼地區-豐緣,#271,蓮帽小童,Lombre,樂天河童
▼地區-豐緣,#272,樂天河童,Ludicolo,樂天河童
▼地區-豐緣,#273,橡實果,Seedot,狡猾天狗
▼地區-豐緣,#274,長鼻葉,Nuzleaf,狡猾天狗
▼地區-豐緣,#275,狡猾天狗,Shiftry,狡猾天狗
▼地區-豐緣,#276,傲骨燕,Taillow,大王燕
▼地區-豐緣,#277,大王燕,Swellow,大王燕
▼地區-豐緣,#278,長翅鷗,Wingull,大嘴鷗
▼地區-豐緣,#279,大嘴鷗,Pelipper,大嘴鷗
▼地區-豐緣,#280,拉魯拉絲,Ralts,艾路雷朵
▼地區-豐緣,#281,奇魯莉安,Kirlia,艾路雷朵
▼地區-豐緣,#282,沙奈朵,Gardevoir,沙奈朵
▼地區-豐緣,#283,溜溜糖球,Surskit,雨翅蛾
▼地區-豐緣,#284,雨翅蛾,Masquerain,雨翅蛾
▼地區-豐緣,#285,蘑蘑菇,Shroomish,斗笠菇
▼地區-豐緣,#286,斗笠菇,Breloom,斗笠菇
▼地區-豐緣,#287,懶人獺,Slakoth,請假王
▼地區-豐緣,#288,過動猿,Vigoroth,請假王
▼地區-豐緣,#289,請假王,Slaking,請假王
▼地區-豐緣,#290,土居忍士,Nincada,脫殼忍者
▼地區-豐緣,#291,鐵面忍者,Ninjask,鐵面忍者
▼地區-豐緣,#292,脫殼忍者,Shedinja,脫殼忍者
▼地區-豐緣,#293,咕妞妞,Whismur,爆音怪
▼地區-豐緣,#294,吼爆彈,Loudred,爆音怪
▼地區-豐緣,#295,爆音怪,Exploud,爆音怪
▼地區-豐緣,#296,幕下力士,Makuhita,鐵掌力士
▼地區-豐緣,#297,鐵掌力士,Hariyama,鐵掌力士
▼地區-豐緣,#298,露力麗,Azurill,瑪力露麗
▼地區-豐緣,#299,朝北鼻,Nosepass,大朝北鼻
▼地區-豐緣,#300,向尾喵,Skitty,優雅貓
▼地區-豐緣,#301,優雅貓,Delcatty,優雅貓
▼地區-豐緣,#302,勾魂眼,Sableye,勾魂眼
▼地區-豐緣,#303,大嘴娃,Mawile,大嘴娃
▼地區-豐緣,#304,可可多拉,Aron,波士可多拉
▼地區-豐緣,#305,可多拉,Lairon,波士可多拉
▼地區-豐緣,#306,波士可多拉,Aggron,波士可多拉
▼地區-豐緣,#307,瑪沙那,Meditite,恰雷姆
▼地區-豐緣,#308,恰雷姆,Medicham,恰雷姆
▼地區-豐緣,#309,落雷獸,Electrike,雷電獸
▼地區-豐緣,#310,雷電獸,Manectric,雷電獸
▼地區-豐緣,#311,正電拍拍,Plusle,正電拍拍
▼地區-豐緣,#312,負電拍拍,Minun,負電拍拍
▼地區-豐緣,#313,電螢蟲,Volbeat,電螢蟲
▼地區-豐緣,#314,甜甜螢,Illumise,甜甜螢
▼地區-豐緣,#315,毒薔薇,Roselia,羅絲雷朵
▼地區-豐緣,#316,溶食獸,Gulpin,吞食獸
▼地區-豐緣,#317,吞食獸,Swalot,吞食獸
▼地區-豐緣,#318,利牙魚,Carvanha,巨牙鯊
▼地區-豐緣,#319,巨牙鯊,Sharpedo,巨牙鯊
▼地區-豐緣,#320,吼吼鯨,Wailmer,吼鯨王
▼地區-豐緣,#321,吼鯨王,Wailord,吼鯨王
▼地區-豐緣,#322,呆火駝,Numel,噴火駝
▼地區-豐緣,#323,噴火駝,Camerupt,噴火駝
▼地區-豐緣,#324,煤炭龜,Torkoal,煤炭龜
▼地區-豐緣,#325,跳跳豬,Spoink,噗噗豬
▼地區-豐緣,#326,噗噗豬,Grumpig,噗噗豬
▼地區-豐緣,#327,晃晃斑,Spinda,晃晃斑
▼地區-豐緣,#328,大顎蟻,Trapinch,沙漠蜻蜓
▼地區-豐緣,#329,超音波幼蟲,Vibrava,沙漠蜻蜓
▼地區-豐緣,#330,沙漠蜻蜓,Flygon,沙漠蜻蜓
▼地區-豐緣,#331,刺球仙人掌,Cacnea,夢歌仙人掌
▼地區-豐緣,#332,夢歌仙人掌,Cacturne,夢歌仙人掌
▼地區-豐緣,#333,青綿鳥,Swablu,七夕青鳥
▼地區-豐緣,#334,七夕青鳥,Altaria,七夕青鳥
▼地區-豐緣,#335,貓鼬斬,Zangoose,貓鼬斬
▼地區-豐緣,#336,飯匙蛇,Seviper,飯匙蛇
▼地區-豐緣,#337,月石,Lunatone,月石
▼地區-豐緣,#338,太陽岩,Solrock,太陽岩
▼地區-豐緣,#339,泥泥鰍,Barboach,鯰魚王
▼地區-豐緣,#340,鯰魚王,Whiscash,鯰魚王
▼地區-豐緣,#341,龍蝦小兵,Corphish,鐵螯龍蝦
▼地區-豐緣,#342,鐵螯龍蝦,Crawdaunt,鐵螯龍蝦
▼地區-豐緣,#343,天秤偶,Baltoy,念力土偶
▼地區-豐緣,#344,念力土偶,Claydol,念力土偶
▼地區-豐緣,#345,觸手百合,Lileep,搖籃百合
▼地區-豐緣,#346,搖籃百合,Cradily,搖籃百合
▼地區-豐緣,#347,太古羽蟲,Anorith,太古盔甲
▼地區-豐緣,#348,太古盔甲,Armaldo,太古盔甲
▼地區-豐緣,#349,醜醜魚,Feebas,美納斯
▼地區-豐緣,#350,美納斯,Milotic,美納斯
▼地區-豐緣,#351,飄浮泡泡,Castform,飄浮泡泡
▼地區-豐緣,#352,變隱龍,Kecleon,變隱龍
▼地區-豐緣,#353,怨影娃娃,Shuppet,詛咒娃娃
▼地區-豐緣,#354,詛咒娃娃,Banette,詛咒娃娃
▼地區-豐緣,#355,夜巡靈,Duskull,黑夜魔靈
▼地區-豐緣,#356,彷徨夜靈,Dusclops,黑夜魔靈
▼地區-豐緣,#357,熱帶龍,Tropius,熱帶龍
▼地區-豐緣,#358,風鈴鈴,Chimecho,風鈴鈴
▼地區-豐緣,#359,阿勃梭魯,Absol,阿勃梭魯
▼地區-豐緣,#360,小果然,Wynaut,果然翁
▼地區-豐緣,#361,雪童子,Snorunt,冰鬼護
▼地區-豐緣,#362,冰鬼護,Glalie,冰鬼護
▼地區-豐緣,#363,海豹球,Spheal,帝牙海獅
▼地區-豐緣,#364,海魔獅,Sealeo,帝牙海獅
▼地區-豐緣,#365,帝牙海獅,Walrein,帝牙海獅
▼地區-豐緣,#366,珍珠貝,Clamperl,獵斑魚
▼地區-豐緣,#367,獵斑魚,Huntail,獵斑魚
▼地區-豐緣,#368,櫻花魚,Gorebyss,櫻花魚
▼地區-豐緣,#369,古空棘魚,Relicanth,古空棘魚
▼地區-豐緣,#370,愛心魚,Luvdisc,愛心魚
▼地區-豐緣,#371,寶貝龍,Bagon,暴飛龍
▼地區-豐緣,#372,甲殼龍,Shelgon,暴飛龍
▼地區-豐緣,#373,暴飛龍,Salamence,暴飛龍
▼地區-豐緣,#374,鐵啞鈴,Beldum,巨金怪
▼地區-豐緣,#375,金屬怪,Metang,巨金怪
▼地區-豐緣,#376,巨金怪,Metagross,巨金怪
▼地區-豐緣,#377,雷吉洛克,Regirock,雷吉洛克
▼地區-豐緣,#378,雷吉艾斯,Regice,雷吉艾斯
▼地區-豐緣,#379,雷吉斯奇魯,Registeel,雷吉斯奇魯
▼地區-豐緣,#380,拉帝亞斯,Latias,拉帝亞斯
▼地區-豐緣,#381,拉帝歐斯,Latios,拉帝歐斯
▼地區-豐緣,#382,蓋歐卡,Kyogre,蓋歐卡
▼地區-豐緣,#383,固拉多,Groudon,固拉多
▼地區-豐緣,#384,烈空坐,Rayquaza,烈空坐
▼地區-豐緣,#385,基拉祈,Jirachi,基拉祈
▼地區-豐緣,#386,代歐奇希斯,Deoxys,代歐奇希斯
▼地區-神奧,#387,草苗龜,Turtwig,土台龜
▼地區-神奧,#388,樹林龜,Grotle,土台龜
▼地區-神奧,#389,土台龜,Torterra,土台龜
▼地區-神奧,#390,小火焰猴,Chimchar,烈焰猴
▼地區-神奧,#391,猛火猴,Monferno,烈焰猴
▼地區-神奧,#392,烈焰猴,Infernape,烈焰猴
▼地區-神奧,#393,波加曼,Piplup,帝王拿波
▼地區-神奧,#394,波皇子,Prinplup,帝王拿波
▼地區-神奧,#395,帝王拿波,Empoleon,帝王拿波
▼地區-神奧,#396,姆克兒,Starly,姆克鷹
▼地區-神奧,#397,姆克鳥,Staravia,姆克鷹
▼地區-神奧,#398,姆克鷹,Staraptor,姆克鷹
▼地區-神奧,#399,大牙狸,Bidoof,大尾狸
▼地區-神奧,#400,大尾狸,Bibarel,大尾狸
▼地區-神奧,#401,圓法師,Kricketot,音箱蟀
▼地區-神奧,#402,音箱蟀,Kricketune,音箱蟀
▼地區-神奧,#403,小貓怪,Shinx,倫琴貓
▼地區-神奧,#404,勒克貓,Luxio,倫琴貓
▼地區-神奧,#405,倫琴貓,Luxray,倫琴貓
▼地區-神奧,#406,含羞苞,Budew,羅絲雷朵
▼地區-神奧,#407,羅絲雷朵,Roserade,羅絲雷朵
▼地區-神奧,#408,頭蓋龍,Cranidos,戰槌龍
▼地區-神奧,#409,戰槌龍,Rampardos,戰槌龍
▼地區-神奧,#410,盾甲龍,Shieldon,護城龍
▼地區-神奧,#411,護城龍,Bastiodon,護城龍
▼地區-神奧,#412,結草兒,Burmy,結草貴婦
▼地區-神奧,#413,結草貴婦,Wormadam,結草貴婦
▼地區-神奧,#414,紳士蛾,Mothim,紳士蛾
▼地區-神奧,#415,三蜜蜂,Combee,蜂女王
▼地區-神奧,#416,蜂女王,Vespiquen,蜂女王
▼地區-神奧,#417,帕奇利茲,Pachirisu,帕奇利茲
▼地區-神奧,#418,泳圈鼬,Buizel,浮潛鼬
▼地區-神奧,#419,浮潛鼬,Floatzel,浮潛鼬
▼地區-神奧,#420,櫻花寶,Cherubi,櫻花兒
▼地區-神奧,#421,櫻花兒,Cherrim,櫻花兒
▼地區-神奧,#422,無殼海兔,Shellos,海兔獸
▼地區-神奧,#423,海兔獸,Gastrodon,海兔獸
▼地區-神奧,#424,雙尾怪手,Ambipom,雙尾怪手
▼地區-神奧,#425,飄飄球,Drifloon,隨風球
▼地區-神奧,#426,隨風球,Drifblim,隨風球
▼地區-神奧,#427,捲捲耳,Buneary,長耳兔
▼地區-神奧,#428,長耳兔,Lopunny,長耳兔
▼地區-神奧,#429,夢妖魔,Mismagius,夢妖魔
▼地區-神奧,#430,烏鴉頭頭,Honchkrow,烏鴉頭頭
▼地區-神奧,#431,魅力喵,Glameow,東施喵
▼地區-神奧,#432,東施喵,Purugly,東施喵
▼地區-神奧,#433,鈴鐺響,Chingling,風鈴鈴
▼地區-神奧,#434,臭鼬噗,Stunky,坦克臭鼬
▼地區-神奧,#435,坦克臭鼬,Skuntank,坦克臭鼬
▼地區-神奧,#436,銅鏡怪,Bronzor,青銅鐘
▼地區-神奧,#437,青銅鐘,Bronzong,青銅鐘
▼地區-神奧,#438,盆才怪,Bonsly,樹才怪
▼地區-神奧,#439,魔尼尼,Mime Jr.,踏冰人偶
▼地區-神奧,#440,小福蛋,Happiny,幸福蛋
▼地區-神奧,#441,聒噪鳥,Chatot,聒噪鳥
▼地區-神奧,#442,花岩怪,Spiritomb,花岩怪
▼地區-神奧,#443,圓陸鯊,Gible,烈咬陸鯊
▼地區-神奧,#444,尖牙陸鯊,Gabite,烈咬陸鯊
▼地區-神奧,#445,烈咬陸鯊,Garchomp,烈咬陸鯊
▼地區-神奧,#446,小卡比獸,Munchlax,卡比獸
